step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities	weighted_com_modularity	speed_avg	speed_std	speed_avg_std	avgSpeed_avg	avgSpeed_std	avgSpeed_avg_std
10	179	3589	0	179	40.10055923461914	0,0,0,0,0,3,1,1,1,0,0,2,3,1,0,0,0,0,0,1,1,2,0,1,0,3,2,0,2,1,1,2,2,4,3,7,0,1,1,4,6,6,8,10,9,18,26,12,11,12,6,5,	11.0	0.7654504623132373	1	179.0	179	0	179.0	5	35.8	60	103	6	132	19.954948	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5128847929429892	1	0.5128847929429892,	0.5734313015773094	13.317614	10.272735	7.517636	0.0	0.0	0.0
11	179	3606	0	179	40.290504455566406	0,0,0,0,0,3,2,1,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0,3,0,2,2,1,3,1,0,1,4,2,4,5,2,0,3,4,4,5,7,8,18,18,18,17,16,4,11,1,2,	11.0	0.7695160960862145	1	179.0	179	0	179.0	7	25.571428	60	103	1	187	23.157843	0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.503366931123914	1	0.503366931123914,	0.022514726362842852	19.08791	12.914548	5.392965	0.0	0.0	0.0
12	180	3676	0	180	40.844444274902344	0,0,0,0,2,2,0,1,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,1,1,2,3,1,2,2,1,0,2,3,4,6,2,0,1,2,7,0,4,12,19,19,20,9,19,16,8,0,2,	11.0	0.7669297765779836	1	180.0	180	0	180.0	7	25.714285	56	103	1	189	22.786797	0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5163162429948813	1	0.5163162429948813,	-0.007690315304563322	19.266418	12.746706	5.6024585	0.0	0.0	0.0
13	180	3684	0	180	40.93333435058594	0,0,0,0,2,2,0,0,1,0,1,3,0,2,0,0,0,0,0,0,1,1,0,1,0,1,2,3,0,4,2,0,1,4,2,4,4,1,1,4,2,3,6,8,21,20,17,10,22,10,7,7,	11.0	0.7667267581682223	1	180.0	180	0	180.0	5	36.0	58	103	5	132	19.506409	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5244738449921662	1	0.5244738449921662,	0.5673452062917298	13.861978	10.350136	7.9985785	0.0	0.0	0.0
14	179	3657	0	179	40.86033630371094	0,0,0,2,0,2,0,1,0,2,1,1,0,1,0,0,1,0,1,0,0,0,2,0,2,1,1,1,3,1,0,2,4,0,6,2,2,1,3,4,2,5,0,12,23,21,11,19,10,12,13,4,	11.0	0.7647912721730791	1	179.0	179	0	179.0	5	35.8	61	103	4	132	20.753313	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5235873545058645	1	0.5235873545058645,	0.5625803231088293	13.920905	10.446097	7.9830594	0.0	0.0	0.0
15	180	3664	0	180	40.71111297607422	0,0,0,1,0,3,0,0,1,3,0,1,0,0,1,0,0,0,2,0,0,1,1,4,1,0,0,2,1,2,0,1,3,0,8,1,2,2,2,3,7,1,7,11,20,17,16,14,12,16,10,1,2,	11.0	0.7646666738376812	1	180.0	180	0	180.0	7	25.714285	60	103	1	190	23.998016	0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5223638603978757	1	0.5223638603978757,	0.049953150927468104	19.444145	12.902518	5.4809637	0.0	0.0	0.0
16	180	3664	0	180	40.71111297607422	0,0,0,1,2,0,0,2,1,2,1,0,1,0,0,0,1,0,0,0,0,2,2,2,1,1,3,0,1,0,0,4,3,1,4,3,1,1,3,2,4,4,7,15,17,14,19,11,16,12,11,5,	11.0	0.7647474882397695	1	180.0	180	0	180.0	5	36.0	63	103	3	132	21.943108	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5272877346684846	1	0.5272877346684846,	0.5604481874307732	14.035009	10.888972	7.5980334	0.0	0.0	0.0
17	179	3663	0	179	40.92737579345703	0,0,0,2,0,0,0,1,4,0,1,1,0,0,0,1,0,0,0,0,1,0,2,3,1,1,3,1,0,0,2,2,4,2,3,0,1,2,3,3,5,4,5,17,13,16,19,13,17,9,9,6,2,	11.0	0.7679249183619743	1	179.0	179	0	179.0	6	29.833334	63	103	2	132	23.163908	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.49090237583276075	1	0.49090237583276075,	0.517193849954392	13.230569	10.127994	7.630109	0.0	0.0	0.0
18	177	3614	0	177	40.836158752441406	0,0,0,2,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,1,1,0,1,1,4,1,0,1,3,1,1,4,1,1,3,1,3,1,5,2,2,10,2,9,12,21,15,17,17,9,11,5,1,	11.0	0.7689691919891815	1	177.0	177	0	177.0	5	35.4	62	103	2	132	21.824299	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.523503376005934	1	0.523503376005934,	0.5568258958453447	13.953148	11.046306	7.315988	0.0	0.0	0.0
19	178	3638	0	178	40.87640380859375	0,0,0,1,0,1,0,0,3,1,2,1,0,1,0,0,0,1,0,0,0,3,0,0,2,3,0,1,4,0,4,2,1,1,2,3,0,2,6,1,3,7,2,8,16,14,26,20,12,5,8,10,1,	11.0	0.7658211432401827	1	178.0	178	0	178.0	6	29.666666	63	103	1	194	24.557415	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.5180306162941355	1	0.5180306162941355,	0.2062149018614942	17.177385	12.745121	6.04665	0.0	0.0	0.0
