TripID	StartLongitude	StartLatitude	Start	EndLongitude	EndLatitude	End
BDNF10-6p8s7z,-80.22034,25.76153,2013-05-17 19:28:41,-80.22036,25.76151,2013-05-17 19:42:40
BDNF55-5g0s6f,-80.2288,25.75099,2013-05-17 19:29:41,-80.2288,25.75099,2013-05-17 19:30:41
BJPI51-5i3c3x,-80.19575,25.76831,2013-05-17 19:31:11,-80.13881,25.79136,2013-05-17 19:52:10
BDNF55-1a4e6p,-80.2288,25.75099,2013-05-17 19:31:11,-80.19739,25.7569,2013-05-17 20:00:11
BGDK20-8c1y3i,-80.18865,25.80603,2013-05-17 19:31:41,-80.19467,25.77167,2013-05-17 19:51:11
BDNF76-5x1c2c,-80.18844,25.79907,2013-05-17 19:33:11,-80.18844,25.79907,2013-05-17 19:35:11
362YLN-6m6e5h,-80.18833,25.79258,2013-05-17 19:35:11,-80.18833,25.79258,2013-05-17 19:35:40
BDNF76-6v0x1e,-80.18844,25.79907,2013-05-17 19:35:40,-80.18773,25.7925,2013-05-17 20:59:40
BKLJ99-5k4d3m,-80.18346,25.83731,2013-05-17 19:37:10,-80.18342,25.83728,2013-05-17 19:41:41
362YLN-7b0w4u,-80.18833,25.79258,2013-05-17 19:40:41,-80.20445,25.759,2013-05-30 17:59:51
BJPI67-4p8a7h,-80.19824,25.81499,2013-05-17 19:41:41,-80.19491,25.81945,2013-05-17 19:46:11
BDNF10-6f5x5x,-80.22036,25.76151,2013-05-17 19:43:10,-80.22036,25.76151,2013-05-17 19:43:41
BJPI42-4f4m7q,-80.20001,25.76813,2013-05-17 19:44:41,-80.21287,25.76739,2013-05-17 19:50:41
BGDK10-5q0i5d,-80.15982,25.84994,2013-05-17 19:46:11,-80.18907,25.7763,2013-05-17 20:09:11
BJPI42-0q8m8m,-80.21287,25.76739,2013-05-17 19:51:41,-80.21287,25.76739,2013-05-17 19:52:10
BGDK20-5s6e0c,-80.19467,25.77167,2013-05-17 19:51:41,-80.19467,25.77167,2013-05-17 19:52:10
BDNF28-3w2z3l,-80.1991,25.79931,2013-05-17 19:52:10,-80.18827,25.79398,2013-05-17 20:00:11
BJPI51-0m8x2i,-80.13881,25.79136,2013-05-17 19:55:41,-80.19032,25.77509,2013-05-17 20:19:10
BJPI47-0x5d0n,-80.19744,25.80147,2013-05-17 19:55:41,-80.19744,25.80147,2013-05-17 20:26:11
BKMB18-6j8v3n,-80.19645,25.76439,2013-05-17 20:00:11,-80.1941,25.80589,2013-05-17 20:18:12
BKMB52-4c1f3r,-80.1889,25.80519,2013-05-17 20:03:11,-80.2155,25.76558,2013-05-17 20:19:41
BKMB41-7l2k8r,-80.19303,25.76234,2013-05-17 20:03:41,-80.19167,25.77338,2013-05-17 20:19:10
BKLJ93-3n4y0w,-80.20785,25.78415,2013-05-17 20:04:41,-80.2095,25.77485,2013-05-17 20:30:11
BGDK21-2a4k8d,-80.22162,25.7469,2013-05-17 20:04:41,-80.18679,25.79229,2013-05-17 20:19:10
BJPI45-2p5a0e,-80.18648,25.82912,2013-05-17 20:13:11,-80.18648,25.82913,2013-05-17 20:23:41
BGDN56-7r1m1p,-80.19322,25.80611,2013-05-17 20:16:41,-80.20427,25.7687,2013-05-17 20:57:11
365TAK-2t8b5l,-80.21502,25.76202,2013-05-17 20:16:41,-80.13321,25.77506,2013-05-17 21:28:41
BDNF43-6y4d1r,-80.25527,25.77831,2013-05-17 20:17:41,-80.21445,25.80792,2013-05-17 20:33:11
