step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
10	1159	1810	277	882	3.123382329940796	277,202,150,115,90,81,56,64,38,28,8,29,13,3,1,4,	17.0	0.4546999879614199	442	2.6221719	49	70	2.6221719	469	2.4712152	25	723	1	3808	3.0804253	0.9597356613046015	0.9341338786972325	1	0.9341338786972325,
11	1164	1814	278	886	3.1168384552001953	278,196,161,117,94,70,58,61,44,27,13,23,14,4,0,4,	16.0	0.4646583942975693	444	2.6216216	45	10	2.6216216	469	2.4818764	25	723	1	4092	3.134825	0.965174697835894	0.9364277778250514	1	0.9364277778250514,
12	1168	1840	288	880	3.1506848335266113	288,187,160,117,87,67,62,67,47,27,12,25,10,8,0,4,	17.0	0.45995157810226295	445	2.6247191	52	59	2.6247191	478	2.4435146	25	723	1	4424	3.127606	0.9621668241965968	0.9309682183364832	1	0.9309682183364832,
13	1172	1871	287	885	3.1928327083587646	287,193,148,118,92,65,57,73,47,32,14,21,12,9,3,1,	16.0	0.4663033544006241	450	2.6044445	52	62	2.6044445	473	2.4778013	26	723	1	4516	3.1656315	0.9641194284132552	0.9353865477779659	1	0.9353865477779659,
14	1177	1875	286	891	3.1860663890838623	286,189,159,122,78,71,66,69,51,20,20,23,12,8,3,	14.0	0.47119774872536135	448	2.627232	41	79	2.627232	476	2.4726892	27	723	1	5009	3.1804154	0.9678592000000035	0.938447644444447	1	0.938447644444447,
15	1179	1906	284	895	3.233248472213745	284,182,157,126,72,80,69,74,47,26,12,24,17,6,3,	19.0	0.4763193267010059	444	2.6554055	47	12	2.6554055	474	2.487342	27	723	1	5301	3.1777585	0.966277035351996	0.9324553874713875	1	0.9324553874713875,
16	1187	1932	289	898	3.255265474319458	289,186,146,124,83,66,84,69,42,31,20,24,16,4,3,	14.0	0.47268002988306307	449	2.6436527	41	82	2.6436527	488	2.432377	27	723	1	5557	3.105856	0.9679158683006883	0.9165522699312846	1	0.9165522699312846,
17	1191	1926	291	900	3.2342569828033447	291,192,142,115,89,69,97,57,39,35,21,25,13,3,3,	14.0	0.4661313870381885	452	2.6349556	43	1	2.6349556	487	2.4455853	27	723	1	5706	3.1734197	0.9679388679155739	0.9271286564463533	1	0.9271286564463533,
18	1196	1907	290	906	3.1889631748199463	290,195,148,110,100,81,78,58,39,37,20,21,12,4,3,	10.0	0.46133195121489445	452	2.6460178	42	81	2.6460178	483	2.4761906	29	723	1	6222	3.2369995	0.9710763947799212	0.9298887519801894	1	0.9298887519801894,
19	1199	1901	293	906	3.170975923538208	293,202,138,110,110,73,89,50,35,37,19,26,9,4,4,	17.0	0.4592124398629819	459	2.6122005	43	31	2.6122005	485	2.4721649	29	723	1	6423	3.254645	0.9705719822425227	0.9272812753109556	1	0.9272812753109556,
20	1201	1894	287	914	3.154038190841675	287,199,149,116,111,75,87,44,37,38,14,23,15,1,5,	18.0	0.4608221642359863	454	2.6453745	39	30	2.6453745	481	2.4968815	30	723	1	6589	3.2768905	0.9707680230684538	0.9274506890541888	1	0.9274506890541888,
21	1207	1911	291	916	3.1665287017822266	291,192,151,114,110,92,77,45,44,32,17,21,11,5,4,1,	26.0	0.4659187172028934	456	2.6469297	74	5	2.6469297	487	2.4784393	30	723	1	6890	3.3040452	0.9609895723374068	0.917601859404954	1	0.917601859404954,
22	1212	1922	297	915	3.171617269515991	297,191,137,123,108,101,74,52,39,33,10,27,8,7,3,2,	31.0	0.4642803428694516	458	2.6462882	84	5	2.6462882	491	2.4684317	30	723	1	7180	3.2091262	0.956617120780143	0.9100869119381142	1	0.9100869119381142,
