step	node_id	x	y	degree	neighbors	cc_id	cc_size	com_id	com_score	com_size
0	_h5_4459	26293.48	24663.74	0		67	1	75	1.0	1
0	_h5_4710	22970.94	20727.63	2	_h5_4465,_h5_4716,	68	3	327	1.0	3
0	_h5_4465	22971.97	20749.25	2	_h5_4710,_h5_4716,	68	3	327	0.95	3
0	_h5_4716	22937.48	20794.91	2	_h5_4710,_h5_4465,	68	3	327	0.95	3
0	_h5_4713	12615.92	20925.31	0		69	1	495	1.0	1
0	_h5_4712	12041.27	24816.56	0		70	1	112	1.0	1
0	_h5_4809	41696.48	31056.31	0		71	1	203	1.0	1
0	_h5_4808	40515.5	22575.18	0		72	1	68	1.0	1
0	_h5_4805	16290.79	14891.51	0		73	1	22	1.0	1
0	_h5_4804	21973.45	14697.03	1	_h5_4797,	74	2	319	0.95	2
0	_h5_4797	21995.6	14742.02	1	_h5_4804,	74	2	319	1.0	2
0	_h5_4807	33885.83	18467.59	1	_h6_115,	75	3	197	0.95	3
0	_h6_115	33870.89	18560.35	2	_h5_4807,_h6_149,	75	3	197	1.0	3
0	_h5_4801	21849.55	14356.54	1	_h5_4764,	76	3	204	1.0	3
0	_h5_4764	21864.94	14414.28	2	_h5_4801,_h5_4816,	76	3	204	0.95	3
0	_h5_4800	16629.92	15199.29	1	_h5_4783,	77	2	224	0.95	2
0	_h5_4783	16590.28	15151.49	1	_h5_4800,	77	2	224	1.0	2
0	_h5_4803	9458.39	24877.79	0		78	1	447	1.0	1
0	_h5_4802	5382.5	18293.62	0		79	1	453	1.0	1
0	_h5_4377	22464.23	18982.27	0		80	1	155	1.0	1
0	_h5_4376	28281.28	16219.26	1	_h5_4593,	81	2	268	0.95	2
0	_h5_4593	28362.78	16194.08	1	_h5_4376,	81	2	268	1.0	2
0	_h5_4375	11947.13	25368.63	0		82	1	454	1.0	1
0	_h5_4374	7315.88	17416.2	0		83	1	0	1.0	1
0	_h5_4373	15008.08	25112.73	2	_h5_4592,_h5_4600,	84	3	114	0.95	3
0	_h5_4592	15068.32	25081.34	1	_h5_4373,	84	3	114	0.8999999999999999	3
0	_h5_4600	14920.34	25157.56	1	_h5_4373,	84	3	114	1.0	3
0	_h5_4372	19215.09	23532.8	2	_h5_4385,_h5_4562,	85	3	188	0.95	3
0	_h5_4385	19161.0	23543.56	1	_h5_4372,	85	3	188	1.0	3
0	_h5_4562	19210.4	23437.16	1	_h5_4372,	85	3	188	0.8999999999999999	3
0	_h5_4371	23093.97	21968.55	2	_h5_4381,_h5_4865,	86	3	213	1.0	1
0	_h5_4381	23089.45	21971.7	2	_h5_4371,_h5_4865,	86	3	278	1.0	1
0	_h5_4865	23084.52	21975.13	2	_h5_4371,_h5_4381,	86	3	419	1.0	1
0	_h5_4370	21436.39	24114.82	0		87	1	360	1.0	1
0	_h5_4379	35938.59	30867.08	0		88	1	83	1.0	1
0	_h5_4378	19149.57	22349.9	0		89	1	335	1.0	1
0	_h6_151	33123.85	25265.98	1	_h6_136,	90	2	298	1.0	2
0	_h6_136	33123.77	25219.33	1	_h6_151,	90	2	298	0.95	2
0	_h6_150	6524.74	27319.93	1	_h6_107,	91	2	437	0.95	2
0	_h6_107	6539.52	27317.58	1	_h6_150,	91	2	437	1.0	2
0	_h6_153	44190.47	32256.47	0		92	1	526	1.0	1
0	_h6_152	11016.44	19382.62	1	_h6_125,	30	7	26	1.0	1
0	_h6_125	11073.95	19415.46	2	_h6_152,_h6_39,	30	7	79	0.95	4
