step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities
11	1164	1814	278	886	3.1168384552001953	278,196,161,117,94,70,58,61,44,27,13,23,14,4,0,4,	16.0	0.4646583942975693	444	2.6216216	45	10	2.6216216	452	2.5752213	34	40	1	3530	3.6512132	0,278,66,31,16,15,7,8,5,3,6,3,0,1,3,0,2,0,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,	0.965174697835894	0.945269185278291	1	0.945269185278291,
12	1168	1840	288	880	3.1506848335266113	288,187,160,117,87,67,62,67,47,27,12,25,10,8,0,4,	17.0	0.45995157810226295	445	2.6247191	52	59	2.6247191	456	2.5614035	35	40	1	3561	3.6795487	0,288,60,31,17,14,6,7,5,5,6,2,1,1,3,0,1,1,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,	0.9621668241965968	0.9435807537807183	1	0.9435807537807183,
13	1172	1871	287	885	3.1928327083587646	287,193,148,118,92,65,57,73,47,32,14,21,12,9,3,1,	16.0	0.4663033544006241	450	2.6044445	52	62	2.6044445	455	2.5758243	34	40	1	4087	3.695793	0,288,60,31,13,16,5,6,10,4,4,2,1,2,4,0,0,1,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,	0.9641194284132552	0.946098871606659	1	0.946098871606659,
14	1177	1875	286	891	3.1860663890838623	286,189,159,122,78,71,66,69,51,20,20,23,12,8,3,	14.0	0.47119774872536135	448	2.627232	41	79	2.627232	453	2.598234	34	40	1	4150	3.7495954	0,286,60,31,13,16,6,5,9,3,5,3,0,1,6,0,0,1,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,	0.9678592000000035	0.9496581688888909	1	0.9496581688888909,
15	1179	1906	284	895	3.233248472213745	284,182,157,126,72,80,69,74,47,26,12,24,17,6,3,	19.0	0.4763193267010059	444	2.6554055	47	12	2.6554055	449	2.6258352	36	40	1	4674	3.8175874	0,285,56,32,16,10,8,4,8,5,7,1,0,3,4,1,1,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,	0.966277035351996	0.9492283714431379	1	0.9492283714431379,
16	1187	1932	289	898	3.255265474319458	289,186,146,124,83,66,84,69,42,31,20,24,16,4,3,	14.0	0.47268002988306307	449	2.6436527	41	82	2.6436527	453	2.620309	36	40	1	4911	3.8433638	0,291,57,29,15,11,5,7,9,3,7,1,0,4,3,1,2,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,	0.9679158683006883	0.9534555315509927	1	0.9534555315509927,
17	1191	1926	291	900	3.2342569828033447	291,192,142,115,89,69,97,57,39,35,21,25,13,3,3,	14.0	0.4661313870381885	452	2.6349556	43	1	2.6349556	452	2.6349556	36	40	1	5121	3.9071167	0,291,57,27,17,10,6,2,13,3,7,1,0,4,3,1,2,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,	0.9679388679155739	0.953643722186097	1	0.953643722186097,
18	1196	1907	290	906	3.1889631748199463	290,195,148,110,100,81,78,58,39,37,20,21,12,4,3,	10.0	0.46133195121489445	452	2.6460178	42	81	2.6460178	451	2.6518848	35	40	1	5406	3.9806046	0,292,57,25,17,8,8,4,9,4,7,2,0,4,2,2,2,1,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,	0.9710763947799212	0.9518543032335546	1	0.9518543032335546,
19	1199	1901	293	906	3.170975923538208	293,202,138,110,110,73,89,50,35,37,19,26,9,4,4,	17.0	0.4592124398629819	459	2.6122005	43	31	2.6122005	453	2.646799	35	40	1	5774	3.991553	0,293,61,24,15,8,8,3,9,6,4,4,1,2,2,2,3,1,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,	0.9705719822425227	0.9518343705145927	1	0.9518343705145927,
20	1201	1894	287	914	3.154038190841675	287,199,149,116,111,75,87,44,37,38,14,23,15,1,5,	18.0	0.4608221642359863	454	2.6453745	39	30	2.6453745	449	2.674833	35	40	1	6096	4.0467486	0,288,61,25,14,9,8,3,9,7,3,4,1,2,2,2,3,1,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,	0.9707680230684538	0.9457631167840628	1	0.9457631167840628,
