	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
25	19	1	18.72	0.0935948716547803	18.57	18.8	6	5.0	0.0	5	5	0	0.0	0	0	7903.6	8074.4	15956.36	16175.34	18.443333333333335	0.37054914204008005	18.14	19.17	0	277.71366621036054	277.71366621036054
26	20	1	18.71	0.061967733538879535	18.65	18.82	6	5.0	0.0	5	5	0	0.0	0	0	7893.14	8062.44	15941.22	16160.79	18.698333333333334	0.4362300616264935	18.24	19.31	0	277.26066237387596	277.26066237387596
27	21	1	18.708333333333332	0.05879342366842922	18.61	18.77	6	6.333333333333333	1.0327955589886444	5	7	0	0.0	0	0	7882.43	8050.36	15925.72	16146.12	18.905	0.20027481119694984	18.7	19.15	0	277.0859882780081	277.0859882780081
28	21	6	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
29	21	7	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
30	22	1	18.7825	0.1188937100343105	18.64	18.96	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7871.86	8126.75	15910.41	16236.88	18.77875	0.3515450590913437	18.41	19.33	0	414.18784747985995	414.18784747985995
31	23	1	18.808750000000003	0.1427722962316612	18.67	19.11	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7861.24	8110.11	15895.01	16216.99	19.003750000000004	0.2570123676843032	18.69	19.42	0	406.94888782253685	406.94888782253685
32	24	1	18.7925	0.16542153945084254	18.66	19.19	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7851.47	8097.49	15879.5	16203.11	18.840000000000003	0.5292042543829403	18.22	19.42	0	406.50863766960737	406.50863766960737
33	25	1	18.792499999999997	0.15135105832871867	18.59	19.12	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7841.55	8085.27	15863.66	16188.48	18.935	0.24213337528849935	18.52	19.24	0	406.08800868777195	406.08800868777195
34	26	1	18.79	0.17695842933945197	18.56	19.17	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7831.84	8072.66	15848.16	16174.49	18.587500000000002	0.4140307096959393	18.25	19.43	0	405.5681709651286	405.5681709651286
35	27	1	18.78375	0.17129235659673164	18.57	19.15	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7821.8	8060.31	15832.13	16160.3	18.59875	0.3121555244243089	18.26	19.01	0	405.6877728007096	405.6877728007096
36	28	1	18.802500000000002	0.1662828914831414	18.64	19.17	8	7.0	1.5118578920369088	5	9	0	0.0	0	0	7811.72	8048.25	15816.04	16145.91	18.9125	0.5119081948943065	18.15	19.38	0	405.9072034344786	405.9072034344786
37	28	8	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
38	28	9	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
39	29	1	18.845	0.16541194367761997	18.63	19.19	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7801.87	8126.88	15800.29	16236.89	18.755	0.4387165625118852	18.27	19.36	0	544.2895002661717	544.2895002661717
40	30	1	18.856	0.15938771735768884	18.67	19.14	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7791.73	8110.67	15784.07	16216.59	18.831	0.32122854446292337	18.15	19.28	0	537.3976870065601	537.3976870065601
41	31	1	18.808	0.16314955647422238	18.57	19.12	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7781.8	8098.73	15768.26	16202.45	18.695999999999998	0.4327226466098204	18.18	19.42	0	537.5551887946019	537.5551887946019
42	32	1	18.829	0.18489937203186504	18.63	19.2	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7771.15	8086.18	15748.91	16187.79	18.891000000000002	0.42919692449961	18.15	19.33	0	540.2402755256232	540.2402755256232
43	33	1	18.789	0.17463931083483242	18.59	19.07	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7762.43	8074.15	15732.72	16173.43	18.622	0.39165744670008884	18.14	19.33	0	539.8098392026588	539.8098392026588
44	34	1	18.770000000000003	0.13080944580205195	18.59	19.0	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7753.66	8062.21	15716.45	16159.5	18.695999999999998	0.36981076241799765	18.16	19.23	0	539.9040701828422	539.9040701828422
45	35	1	18.743	0.17262998323342224	18.39	18.95	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7744.57	8050.11	15699.59	16144.49	18.633000000000003	0.8636749645811407	16.41	19.27	0	539.7135366099313	539.7135366099313
46	36	1	18.685	0.24208584336047076	18.04	18.87	10	7.4	1.577621275493231	5	9	0	0.0	0	0	7735.7	8039.14	15683.13	16129.91	18.083000000000002	1.1016860815232976	15.01	18.78	0	540.0816623437615	540.0816623437615
47	36	10	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
48	36	11	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
49	37	1	18.705000000000002	0.36092054023489983	17.6	19.02	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7726.52	8126.87	15666.11	16236.78	18.378333333333334	1.4758099984467035	13.82	19.41	0	697.0971032790193	697.0971032790193
50	38	1	18.640833333333333	0.43073844274759365	17.3	18.96	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7717.33	8110.74	15649.05	16216.81	18.435	1.0928153798997977	15.14	19.31	0	690.7407948717088	690.7407948717088
51	39	1	18.617499999999996	0.5205787862825517	17.0	18.96	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7708.44	8098.54	15632.53	16202.41	18.514166666666664	1.0643090659572576	15.35	19.37	0	690.6093138671092	690.6093138671092
52	40	1	18.565	0.5974110812497678	16.69	18.87	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7699.61	8086.12	15615.39	16188.32	18.35	0.8872736587178448	15.81	19.41	0	691.114147590686	691.114147590686
53	41	1	18.55333333333333	0.6341828433408748	16.55	18.81	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7691.27	8074.06	15598.64	16174.31	18.63666666666667	0.46247031026727	18.0	19.41	0	691.3205718044271	691.3205718044271
54	42	1	18.508333333333336	0.7162634524623748	16.25	18.86	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7683.09	8061.62	15582.2	16160.5	18.445	0.8814811914664261	15.92	19.26	0	691.1699146374926	691.1699146374926
55	43	1	18.500833333333333	0.7658679963798238	16.09	18.92	12	7.666666666666667	1.556997888323046	5	9	0	0.0	0	0	7675.05	8049.47	15565.62	16145.83	18.561666666666667	0.7043092468166903	16.65	19.36	0	690.5316650958151	690.5316650958151
56	43	12	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
