	step	com_id	timeMeanSpeed	timeMeanSpeed	timeMeanSpeed	timeMeanSpeed	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	y	y	x	x	speed	speed	speed	speed	congested	range	num_stops_count
			mean	std	amin	amax	size	mean	std	amin	amax	sum	mean	amin	amax	amin	amax	amin	amax	mean	std	amin	amax			
																										
27	14	9	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
28	15	0	18.836250000000003	0.1921262605682492	18.68	19.21	8	9.0	0.0	9	9	0	0.0	0	0	7959.04	8126.43	16023.82	16234.35	18.808749999999996	0.2712109089676336	18.37	19.16	0	268.96522637694335	268.96522637694335
29	15	7	18.92		18.92	18.92	1	9.0		9	9	0	0.0	0	0	7967.37	7967.37	16040.17	16040.17	18.89		18.89	18.89	0	0.0	0.0
30	15	10	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
31	16	0	18.804000000000002	0.2325797354313709	18.59	19.17	10	9.0	0.0	9	9	0	0.0	0	0	7947.6	8123.96	16008.9	16236.54	18.776999999999997	0.4355851747299345	18.17	19.41	0	287.9632254299157	287.9632254299157
32	17	0	18.689999999999998	0.042163702135079875	18.65	18.73	10	9.0	0.0	9	9	0	0.0	0	0	7936.18	8107.57	15994.31	16216.56	18.691000000000003	0.2981964304130845	18.18	19.05	0	280.65921435078485	280.65921435078485
33	18	0	18.805	0.03689323936718484	18.77	18.84	10	9.8	0.4216370213557839	9	10	0	0.0	0	0	7924.9	8095.03	15979.9	16201.87	18.806	0.39393174817751697	18.29	19.31	0	279.6692650256738	279.6692650256738
34	18	11	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
35	19	0	18.771818181818183	0.13496800967717698	18.68	19.13	11	10.363636363636363	0.9244162777371754	9	11	0	0.0	0	0	7907.86	8126.54	15956.72	16234.48	18.740909090909092	0.39465059344823633	18.17	19.38	0	353.51316807157303	353.51316807157303
36	19	12	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
37	20	0	18.759999999999998	0.18065537256459646	18.61	19.26	12	10.166666666666666	1.1146408580454255	8	11	0	0.0	0	0	7897.09	8123.84	15941.14	16236.4	18.743333333333336	0.38058169194323666	18.21	19.42	0	372.28219148919834	372.28219148919834
38	21	0	18.685	0.1900956696941033	18.16	18.82	12	10.833333333333334	1.3371158468430429	9	12	0	0.0	0	0	7886.4	8107.84	15925.66	16216.87	18.686666666666664	0.423241459846929	18.16	19.44	0	365.8400438716363	365.8400438716363
39	21	13	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
40	22	0	18.611538461538466	0.1800854498028569	18.26	19.12	13	11.307692307692308	1.7504578155735615	9	13	0	0.0	0	0	7875.66	8126.54	15910.11	16234.49	18.58923076923077	0.35551515529025274	18.14	19.29	0	410.0770156933933	410.0770156933933
41	22	14	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
42	23	0	18.954285714285714	0.17328119813292553	18.76	19.3	14	11.142857142857142	1.7913099142223294	9	13	0	0.0	0	0	7865.15	8123.79	15894.9	16236.33	18.944285714285716	0.33387501774234335	18.4	19.31	0	428.33292483767855	428.33292483767855
43	24	0	18.83071428571429	0.1831965856966121	18.63	19.16	14	11.142857142857142	1.7913099142223294	9	13	0	0.0	0	0	7854.95	8107.22	15878.84	16216.15	18.832142857142856	0.40077192000952644	18.22	19.19	0	421.2103856744274	421.2103856744274
44	25	0	18.907857142857143	0.13745928468132115	18.66	19.03	14	11.714285714285714	1.938618517976592	9	14	0	0.0	0	0	7845.03	8094.63	15863.0	16201.4	18.908571428571427	0.3758243686138662	18.41	19.43	0	420.49342444323656	420.49342444323656
45	25	15	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
46	26	0	18.787333333333333	0.2582763377985415	18.45	19.06	15	12.0	2.2038926600773587	9	15	0	0.0	0	0	7834.99	8126.75	15846.96	16234.74	18.754666666666665	0.42216900249384126	18.16	19.42	0	485.2805642100255	485.2805642100255
47	26	16	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
48	27	0	18.986874999999998	0.21825730228366116	18.62	19.32	16	11.75	2.3523038352503134	8	15	0	0.0	0	0	7825.24	8123.77	15831.4	16236.31	18.98	0.37876993896911826	18.22	19.42	0	503.0628877188222	503.0628877188222
49	28	0	18.766250000000003	0.17564642514575252	18.61	19.08	16	12.25	2.4083189157584592	9	16	0	0.0	0	0	7815.3	8107.79	15815.53	16216.82	18.766874999999995	0.3283436969602096	18.25	19.39	0	496.57231517675154	496.57231517675154
50	28	17	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
51	29	0	18.58058823529412	0.378623668506035	17.9	19.34	17	12.529411764705882	2.648529003494759	9	17	0	0.0	0	0	7805.3	8126.27	15799.55	16234.15	18.574117647058824	0.8915790684477074	15.52	19.43	0	540.2766892065588	540.2766892065588
52	29	18	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
53	30	0	18.639444444444447	0.20638263214143165	18.35	19.06	18	12.333333333333334	2.700762419587999	9	17	0	0.0	0	0	7795.15	8124.09	15783.35	16236.7	18.61722222222222	0.4376112370259378	17.43	19.2	0	560.1140474046341	560.1140474046341
54	31	0	18.48444444444445	0.5350890219745896	17.44	18.89	18	12.333333333333334	2.700762419587999	9	17	0	0.0	0	0	7785.05	8108.17	15767.23	16217.26	18.485	1.0387110224867255	15.64	19.43	0	554.015825856988	554.015825856988
55	32	0	18.552777777777774	0.44051848536460925	17.79	18.95	18	12.777777777777779	2.646986200891954	9	17	0	0.0	0	0	7774.64	8096.3	15748.43	16203.36	18.555	0.7470746871868233	16.34	19.38	0	557.1592774961215	557.1592774961215
56	32	19	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
57	33	0	18.47157894736842	0.6420216607447816	17.19	19.38	19	13.0	2.788866755113585	9	17	0	0.0	0	0	7765.57	8126.21	15731.61	16234.08	18.466842105263154	1.1595403909000943	14.32	19.36	0	618.4960068585726	618.4960068585726
58	33	20	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
59	34	0	18.614000000000004	0.5315558098141276	17.79	19.16	20	12.8	2.8580449703655084	9	17	0	0.0	0	0	7756.7	8124.32	15715.14	16236.98	18.587499999999995	0.8397046786630371	16.22	19.43	0	638.3270713356908	638.3270713356908
60	35	0	18.4255	0.3794521674315541	17.95	18.84	20	12.8	2.8580449703655084	9	17	0	0.0	0	0	7747.91	8108.4	15698.83	16217.53	18.425499999999996	0.8408484123976668	15.91	19.33	0	631.6666289270003	631.6666289270003
61	36	0	18.485500000000002	0.3638460489937495	17.99	18.89	20	13.2	2.7644357947251903	9	17	0	0.0	0	0	7739.29	8096.5	15682.84	16203.6	18.485	0.8041635078566898	15.78	19.35	0	631.4981882000931	631.4981882000931
62	36	21	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
63	37	0	18.55380952380952	0.43225543594602917	17.76	18.9	21	13.333333333333334	2.816617356570348	9	17	0	0.0	0	0	7730.44	8126.86	15666.42	16234.88	18.529047619047624	0.6291494636562233	17.14	19.33	0	693.0336124604629	693.0336124604629
64	37	22	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
65	38	0	18.64454545454545	0.43233284435934416	17.87	19.19	22	13.181818181818182	2.9862600217912902	8	17	0	0.0	0	0	7721.56	8123.94	15649.95	16236.52	18.63181818181818	0.5830922198046031	16.71	19.41	0	711.3185146613288	711.3185146613288
66	39	0	18.54863636363637	0.17509984782910315	18.32	18.78	22	13.545454545454545	2.840645009370947	9	17	0	0.0	0	0	7712.46	8107.34	15633.04	16216.29	18.547272727272727	0.5829414886768708	16.93	19.42	0	704.3513163897687	704.3513163897687
67	39	23	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
68	40	0	18.742608695652176	0.26559054938184157	18.33	19.24	23	13.782608695652174	2.9069903483457757	9	17	0	0.0	0	0	7702.95	8126.95	15614.72	16234.99	18.716086956521735	0.5277459713506677	17.19	19.41	0	751.3393859634942	751.3393859634942
69	40	24	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
70	41	0	18.768333333333334	0.21339220202235598	18.49	19.35	24	13.583333333333334	3.0060325820020597	9	17	0	0.0	0	0	7694.63	8123.73	15597.99	16236.26	18.765000000000004	0.6046989908748789	16.54	19.42	0	769.10038545043	769.10038545043
71	42	0	18.645	0.22294471921573944	18.38	19.21	24	13.583333333333334	3.0060325820020597	9	17	0	0.0	0	0	7686.4	8107.44	15581.46	16216.4	18.644166666666667	0.538507734122969	16.62	19.34	0	761.8552915088276	761.8552915088276
72	43	0	18.631666666666664	0.4517758839020175	17.37	19.03	24	13.916666666666666	2.8424830949237916	9	17	0	0.0	0	0	7678.12	8095.24	15564.39	16202.12	18.631249999999998	0.6208641418287528	16.55	19.29	0	762.0292955654669	762.0292955654669
