	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
12	6	0	18.88		18.88	18.88	1	1.0		1	1	0	0.0	0	0	8061.49	8061.49	16157.52	16157.52	19.27		19.27	19.27	0	0.0	0.0
13	6	1	19.04		19.04	19.04	1	1.0		1	1	0	0.0	0	0	8058.18	8058.18	16158.74	16158.74	18.91		18.91	18.91	0	0.0	0.0
14	7	1	18.990000000000002	0.08485281374111449	18.93	19.05	2	3.0	0.0	3	3	0	0.0	0	0	8046.24	8049.44	16142.56	16143.81	19.174999999999997	0.06363961030773393	19.13	19.22	0	3.4354766772602074	3.4354766772602074
15	7	2	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
16	7	3	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
17	8	1	19.06	0.21802140567682962	18.9	19.38	4	3.0	0.0	3	3	0	0.0	0	0	8035.25	8126.69	16127.69	16236.21	18.685000000000002	0.46978718586177654	18.19	19.32	0	141.90794199057228	141.90794199057228
18	9	1	18.975	0.15588457268083877	18.83	19.19	4	3.0	0.0	3	3	0	0.0	0	0	8023.62	8110.52	16113.19	16216.3	18.732499999999998	0.4271904337257192	18.2	19.24	0	134.84540073728817	134.84540073728817
19	10	1	18.945	0.19604421270057185	18.71	19.19	4	3.0	0.0	3	3	0	0.0	0	0	8012.12	8098.14	16098.66	16201.69	18.887500000000003	0.4448501620394673	18.23	19.21	0	134.21855795679005	134.21855795679005
20	11	1	18.975	0.20534523774966237	18.74	19.23	4	3.0	0.0	3	3	0	0.0	0	0	8000.92	8085.58	16083.4	16186.96	19.095	0.40665300523504044	18.5	19.38	0	133.76094048712378	133.76094048712378
21	12	1	18.9425	0.16800297616417506	18.76	19.13	4	3.0	0.0	3	3	0	0.0	0	0	7989.52	8073.2	16068.65	16172.78	18.7575	0.21945007025124522	18.56	19.06	0	133.5866733622786	133.5866733622786
22	13	1	18.91	0.1957890020745199	18.69	19.08	4	3.0	0.0	3	3	0	0.0	0	0	7978.29	8060.67	16053.84	16158.49	18.8125	0.34480670913812744	18.52	19.3	0	133.18440937286894	133.18440937286894
23	14	1	18.8975	0.11557825631740502	18.76	19.02	4	5.0	0.0	5	5	0	0.0	0	0	7966.85	8049.3	16038.82	16144.02	18.612499999999997	0.3314991201599217	18.18	18.91	0	133.66017544504467	133.66017544504467
24	14	4	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
25	14	5	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
26	15	1	18.96333333333333	0.16776968339579607	18.8	19.26	6	5.0	0.0	5	5	0	0.0	0	0	7955.36	8126.37	16023.51	16236.91	18.963333333333335	0.3214135446223222	18.42	19.28	0	273.4665977774981	273.4665977774981
27	16	1	18.843333333333337	0.13002563849674093	18.68	19.0	6	5.0	0.0	5	5	0	0.0	0	0	7944.05	8110.42	16008.78	16217.46	18.496666666666666	0.327821089417188	18.17	19.08	0	266.882594599197	266.882594599197
28	17	1	18.775	0.09268225288621558	18.66	18.88	6	5.0	0.0	5	5	0	0.0	0	0	7932.46	8098.28	15994.31	16203.22	18.515	0.2627356085497751	18.16	18.81	0	266.7201913991512	266.7201913991512
29	18	1	18.75333333333333	0.10250203250091383	18.6	18.85	6	5.0	0.0	5	5	0	0.0	0	0	7920.81	8086.33	15979.67	16189.35	18.656666666666666	0.2958828597040386	18.25	19.0	0	267.13774124971553	267.13774124971553
30	19	1	18.72	0.0935948716547803	18.57	18.8	6	5.0	0.0	5	5	0	0.0	0	0	7903.6	8074.4	15956.36	16175.34	18.443333333333335	0.37054914204008005	18.14	19.17	0	277.71366621036054	277.71366621036054
31	20	1	18.71	0.061967733538879535	18.65	18.82	6	5.0	0.0	5	5	0	0.0	0	0	7893.14	8062.44	15941.22	16160.79	18.698333333333334	0.4362300616264935	18.24	19.31	0	277.26066237387596	277.26066237387596
32	21	1	18.708333333333332	0.05879342366842922	18.61	18.77	6	6.333333333333333	1.0327955589886444	5	7	0	0.0	0	0	7882.43	8050.36	15925.72	16146.12	18.905	0.20027481119694984	18.7	19.15	0	277.0859882780081	277.0859882780081
33	21	6	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
34	21	7	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
35	22	1	18.7825	0.1188937100343105	18.64	18.96	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7871.86	8126.75	15910.41	16236.88	18.77875	0.3515450590913437	18.41	19.33	0	414.18784747985995	414.18784747985995
