	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
35	22	0	18.838461538461537	0.15501860930489486	18.58	19.12	13	11.307692307692308	1.7504578155735615	9	13	0	0.0	0	0	7875.66	8126.54	15910.11	16234.49	18.58923076923077	0.35551515529025274	18.14	19.29	0	410.0770156933933	410.0770156933933
36	22	13	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
37	23	0	18.873571428571427	0.19878891560405001	18.54	19.3	14	11.142857142857142	1.7913099142223294	9	13	0	0.0	0	0	7865.15	8123.79	15894.9	16236.33	18.944285714285716	0.33387501774234335	18.4	19.31	0	428.33292483767855	428.33292483767855
38	24	0	18.837142857142855	0.20219672718335008	18.52	19.25	14	11.142857142857142	1.7913099142223294	9	13	0	0.0	0	0	7854.95	8107.22	15878.84	16216.15	18.832142857142856	0.40077192000952644	18.22	19.19	0	421.2103856744274	421.2103856744274
39	25	0	18.834285714285716	0.20125430853347936	18.51	19.29	14	11.714285714285714	1.938618517976592	9	14	0	0.0	0	0	7845.03	8094.63	15863.0	16201.4	18.908571428571427	0.3758243686138662	18.41	19.43	0	420.49342444323656	420.49342444323656
40	25	14	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
41	26	0	18.833333333333332	0.194850369942317	18.47	19.29	15	12.0	2.2038926600773587	9	15	0	0.0	0	0	7834.99	8126.75	15846.96	16234.74	18.754666666666665	0.42216900249384126	18.16	19.42	0	485.2805642100255	485.2805642100255
42	26	15	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
43	27	0	18.876250000000002	0.20162258471346584	18.54	19.32	16	11.75	2.3523038352503134	8	15	0	0.0	0	0	7825.24	8123.77	15831.4	16236.31	18.98	0.37876993896911826	18.22	19.42	0	503.0628877188222	503.0628877188222
44	28	0	18.838124999999998	0.15131506864857067	18.6	19.17	16	12.25	2.4083189157584592	9	16	0	0.0	0	0	7815.3	8107.79	15815.53	16216.82	18.766874999999995	0.3283436969602096	18.25	19.39	0	496.57231517675154	496.57231517675154
45	28	16	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
46	29	0	18.836470588235297	0.2216117431586582	18.46	19.34	17	12.529411764705882	2.648529003494759	9	17	0	0.0	0	0	7805.3	8126.27	15799.55	16234.15	18.574117647058824	0.8915790684477074	15.52	19.43	0	540.2766892065588	540.2766892065588
47	29	17	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
48	30	0	18.815555555555555	0.21420776671311903	18.35	19.17	18	12.333333333333334	2.700762419587999	9	17	0	0.0	0	0	7795.15	8124.09	15783.35	16236.7	18.61722222222222	0.4376112370259378	17.43	19.2	0	560.1140474046341	560.1140474046341
49	31	0	18.765555555555554	0.21801840780963705	18.17	19.07	18	12.333333333333334	2.700762419587999	9	17	0	0.0	0	0	7785.05	8108.17	15767.23	16217.26	18.485	1.0387110224867255	15.64	19.43	0	554.015825856988	554.015825856988
50	32	0	18.744444444444444	0.25282456652396146	18.12	19.11	18	12.777777777777779	2.646986200891954	9	17	0	0.0	0	0	7774.64	8096.3	15748.43	16203.36	18.555	0.7470746871868233	16.34	19.38	0	557.1592774961215	557.1592774961215
51	32	18	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
52	33	0	18.736315789473686	0.35281739888935454	17.94	19.38	19	13.0	2.788866755113585	9	17	0	0.0	0	0	7765.57	8126.21	15731.61	16234.08	18.466842105263154	1.1595403909000943	14.32	19.36	0	618.4960068585726	618.4960068585726
53	33	19	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
