	('step', '')	('com_id', '')	('x', 'amin')	('x', 'amax')	('com_size', 'size')	('degree', 'mean')	('degree', 'std')	('degree', 'amin')	('degree', 'amax')	('num_stops', 'sum')	('num_stops', 'mean')	('num_stops', 'amin')	('num_stops', 'amax')	('y', 'amin')	('y', 'amax')	('avg_speed', 'mean')	('avg_speed', 'std')	('avg_speed', 'amin')	('avg_speed', 'amax')	('speed', 'mean')	('speed', 'std')	('speed', 'amin')	('speed', 'amax')	('congested', 'sum')	('range', '')	('num_stops_count', '')
864	10	287	2560.56	3083.5	7	5.714285714285714	1.2535663410560174	4	7	0	0.0	0	0	3526.5	3746.5	38.36142857142857	8.330699107460815	24.78	44.61	33.72142857142857	21.57857226399331	6.66	54.2	0	567.3325687813102	0
865	10	296	2426.5	2762.62	4	5.5	1.0	4	6	1	0.25	0	1	3271.43	3303.5	45.644999999999996	13.07591806846975	28.91	60.32	37.177499999999995	27.669858902182117	0.0	60.58	0	337.6464708833782	0
866	10	300	1316.5	1355.84	3	4.0	2.0	2	6	1	0.3333333333333333	0	1	2611.14	2866.5	38.24333333333333	8.184414049480536	32.6	47.63	23.786666666666665	24.782050628092367	0.25	49.65	0	258.3725318217865	0
867	10	311	3262.32	3526.5	6	4.166666666666667	1.3291601358251257	2	6	0	0.0	0	0	2060.02	2557.62	43.24333333333333	11.344021626683665	22.49	53.3	32.546666666666674	22.90965182334002	4.43	58.21	0	563.3798295998889	0
868	10	318	3296.5	3547.14	5	6.4	0.8944271909999159	5	7	1	0.2	0	1	1375.37	1677.99	32.676	4.852878527224853	27.38	37.02	23.17	19.16232501550895	0.0	48.56	0	392.93673027600767	0
869	10	323	3953.5	4167.18	3	2.3333333333333335	0.5773502691896257	2	3	1	0.3333333333333333	0	1	282.75	528.81	44.21666666666667	15.317579225626101	26.82	55.68	33.70333333333333	29.190752531124197	0.0	50.96	0	325.8905736593191	0
870	10	324	3296.5	3736.5	7	4.571428571428571	1.1338934190276817	3	6	2	0.2857142857142857	0	1	663.5	876.5	40.701428571428565	8.637184009794387	27.5	50.94	33.567142857142855	23.592861006588215	0.07	54.02	0	488.84455607074113	0
871	10	340	873.5	1727.17	10	4.6	1.577621275493231	3	7	2	0.2	0	1	1748.73	2196.5	45.084999999999994	9.46326024393523	22.66	55.22	27.557	20.050096175995435	0.0	54.16	0	963.9763699385998	0
872	10	341	1722.11	1840.54	4	4.25	1.2583057392117916	3	6	1	0.25	0	1	1323.5	1546.5	45.915	13.047488902722495	27.08	54.97	30.542499999999997	20.682627774696986	0.0	45.85	0	252.49686116860943	0
873	10	371	1326.5	1501.32	3	2.6666666666666665	0.5773502691896257	2	3	0	0.0	0	0	3736.5	3953.5	39.333333333333336	4.136391341898524	35.6	43.78	25.963333333333335	28.28119221909383	4.58	58.03	0	278.6593483090061	0
874	10	398	1973.5	2268.99	5	4.0	1.224744871391589	2	5	0	0.0	0	0	1505.03	1880.32	39.018	12.404622928569815	22.23	52.56	26.844	21.301722465566026	2.25	47.47	0	477.65774797442555	0
875	10	412	2271.93	2284.02	3	2.0	0.0	2	2	1	0.3333333333333333	0	1	3743.5	3966.5	33.843333333333334	5.467013200398625	28.78	39.64	4.096666666666667	3.623152402719672	0.0	6.88	0	223.32749069471944	0
876	10	414	2426.5	2633.5	4	5.0	0.816496580927726	4	6	1	0.25	0	1	1536.5	1825.34	36.045	12.045924622045428	24.78	51.33	28.487499999999997	23.803741127534277	0.0	51.86	0	355.3555200077803	0
