	step	com_id	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	x	x	y	y	avg_speed	avg_speed	avg_speed	avg_speed	speed	speed	speed	speed	congested	range	num_stops_count
0	0	0	1	4.0		4	4	1	1.0	1	1	1552.44	1552.44	223.5	223.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
1	0	1	1	26.0		26	26	1	1.0	1	1	2392.36	2392.36	1976.5	1976.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
2	0	2	1	8.0		8	8	1	1.0	1	1	2652.39	2652.39	3746.5	3746.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
3	0	3	1	15.0		15	15	0	0.0	0	0	4393.5	4393.5	1780.51	1780.51	-1.0		-1.0	-1.0	29.2		29.2	29.2	0	0.0	0.0
4	0	4	1	6.0		6	6	0	0.0	0	0	2228.89	2228.89	4406.5	4406.5	-1.0		-1.0	-1.0	7.49		7.49	7.49	0	0.0	0.0
5	0	5	1	25.0		25	25	0	0.0	0	0	2839.86	2839.86	2866.5	2866.5	-1.0		-1.0	-1.0	36.04		36.04	36.04	0	0.0	0.0
6	0	6	1	5.0		5	5	1	1.0	1	1	1517.48	1517.48	4393.5	4393.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
7	0	7	1	28.0		28	28	1	1.0	1	1	3282.51	3282.51	1976.5	1976.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
8	0	8	1	14.0		14	14	0	0.0	0	0	886.5	886.5	3219.92	3219.92	-1.0		-1.0	-1.0	56.08		56.08	56.08	0	0.0	0.0
9	0	9	1	34.0		34	34	0	0.0	0	0	2646.5	2646.5	2846.3	2846.3	-1.0		-1.0	-1.0	5.2		5.2	5.2	0	0.0	0.0
10	0	10	1	20.0		20	20	1	1.0	1	1	2863.5	2863.5	3274.62	3274.62	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
11	0	11	1	3.0		3	3	1	1.0	1	1	672.69	672.69	443.5	443.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
