	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
30	18	1	18.79	0.03415650255414203	18.77	18.84	7	9.857142857142858	0.3779644730092272	9	10	0	0.0	0	0	7924.9	8095.03	15979.9	16201.87	18.85571428571429	0.4300332213080372	18.29	19.31	0	279.6692650256738	279.6692650256738
31	18	11	18.84	2.7530206164819037e-07	18.84	18.84	3	9.666666666666666	0.5773502691896257	9	10	0	0.0	0	0	7932.51	8011.71	15994.98	16098.28	18.69	0.3386738844374228	18.42	19.07	0	130.1673154059812	130.1673154059812
32	18	12	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
33	19	1	18.80625	0.1451046420445554	18.68	19.13	8	10.375	0.9161253813129043	9	11	0	0.0	0	0	7907.86	8126.54	15956.72	16234.48	18.884999999999998	0.35294677866708346	18.26	19.38	0	353.51316807157303	353.51316807157303
34	19	11	18.68	0.0	18.68	18.68	3	10.333333333333334	1.1547005383792515	9	11	0	0.0	0	0	7921.21	8000.47	15980.54	16083.51	18.35666666666667	0.19553345834718386	18.17	18.56	0	129.94217367737042	129.94217367737042
35	19	13	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
36	20	1	18.778888888888886	0.2040492859857066	18.66	19.26	9	10.11111111111111	1.1666666666666667	8	11	0	0.0	0	0	7897.09	8123.84	15941.14	16236.4	18.741111111111113	0.36801645494607255	18.21	19.42	0	372.28219148919834	372.28219148919834
37	20	11	18.703333333333333	0.08082903768671713	18.61	18.75	3	10.333333333333334	1.1547005383792515	9	11	0	0.0	0	0	7904.28	7988.75	15957.36	16068.16	18.75	0.5047771785648911	18.33	19.31	0	139.32631086768887	139.32631086768887
38	21	1	18.755555555555553	0.09422196016745643	18.63	18.82	9	10.88888888888889	1.3642254619787417	9	12	0	0.0	0	0	7886.4	8107.84	15925.66	16216.87	18.74333333333333	0.431566912540975	18.25	19.44	0	365.8400438716363	365.8400438716363
39	21	11	18.473333333333333	0.2713546265190021	18.16	18.63	3	10.666666666666666	1.5275252316519468	9	12	0	0.0	0	0	7893.95	7977.23	15942.41	16053.07	18.516666666666666	0.42712215270720966	18.16	18.99	0	138.49618767316278	138.49618767316278
40	21	14	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
41	22	1	18.611538461538466	0.1800854498028569	18.26	19.12	13	11.307692307692308	1.7504578155735615	9	13	0	0.0	0	0	7875.66	8126.54	15910.11	16234.49	18.58923076923077	0.35551515529025274	18.14	19.29	0	410.0770156933933	410.0770156933933
42	22	15	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
