	step	com_id	timeMeanSpeed	timeMeanSpeed	timeMeanSpeed	timeMeanSpeed	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	y	y	x	x	speed	speed	speed	speed	congested	range	num_stops_count
			mean	std	amin	amax	size	mean	std	amin	amax	sum	mean	amin	amax	amin	amax	amin	amax	mean	std	amin	amax			
																										
0	0	0	19.44		19.44	19.44	1	0.0		0	0	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
1	1	0	19.12		19.12	19.12	1	1.0		1	1	0	0.0	0	0	8126.55	8126.55	16234.49	16234.49	18.8		18.8	18.8	0	0.0	0.0
2	1	1	19.44		19.44	19.44	1	1.0		1	1	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
3	2	0	18.47		18.47	18.47	1	1.0		1	1	0	0.0	0	0	8110.51	8110.51	16214.92	16214.92	18.47		18.47	18.47	0	0.0	0.0
4	2	1	19.41		19.41	19.41	1	1.0		1	1	0	0.0	0	0	8123.65	8123.65	16236.16	16236.16	19.38		19.38	19.38	0	0.0	0.0
5	3	0	18.73		18.73	18.73	1	2.0		2	2	0	0.0	0	0	8107.35	8107.35	16216.31	16216.31	18.73		18.73	18.73	0	0.0	0.0
6	3	2	19.28	0.22627416997968275	19.12	19.44	2	2.0	0.0	2	2	0	0.0	0	0	8098.1	8138.77	16200.38	16248.69	19.28	0.22627416997968275	19.12	19.44	0	63.1498614408625	63.1498614408625
7	4	0	18.7	0.18384776310830744	18.57	18.83	2	3.0	0.0	3	3	0	0.0	0	0	8085.87	8095.3	16186.06	16202.19	18.7	0.18384776310830744	18.57	18.83	0	18.68426610814667	18.68426610814667
8	4	2	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8126.15	8126.15	16234.01	16234.01	19.43		19.43	19.43	0	0.0	0.0
9	4	3	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
