step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
30	1240	2037	286	954	3.2854838371276855	286,208,119,119,135,114,83,48,40,19,13,26,10,5,3,2,7,3,	18.0	0.46059266950633165	449	2.7616928	48	12	2.7616928	489	2.5357873	32	7	1	10071	3.7404587	0.9646305257498179	0.8448395406626883	1	0.8448395406626883,
31	1245	2070	294	951	3.325301170349121	294,195,130,108,140,110,89,55,35,16,13,24,12,8,1,2,2,8,3,	18.0	0.47074077837011935	455	2.7362638	49	60	2.7362638	492	2.5304878	31	7	1	10226	3.792624	0.9612691077971506	0.8434280846694213	1	0.8434280846694213,
32	1248	2053	294	954	3.2900640964508057	294,198,131,111,141,113,83,58,33,16,10,27,8,9,2,2,3,6,3,	22.0	0.4750760569977197	459	2.7189543	64	13	2.7189543	492	2.5365853	30	7	1	10631	3.8533032	0.9598299709429317	0.8202003934223359	1	0.8202003934223359,
33	1252	2066	293	959	3.3003194332122803	293,205,132,115,129,113,85,58,33,17,9,23,16,6,3,1,6,6,2,	21.0	0.4656357683901846	459	2.7276688	64	13	2.7276688	491	2.5498981	45	48	1	11047	4.135838	0.9623203875215631	0.8479016276992812	1	0.8479016276992812,
34	1254	2081	285	969	3.318979263305664	285,216,131,112,126,122,84,53,34,22,4,21,19,7,2,1,6,3,5,1,	22.0	0.4665910850941653	456	2.75	51	12	2.75	488	2.569672	47	48	1	11389	4.2613854	0.9656374774538458	0.8509948249199125	1	0.8509948249199125,
35	1264	2121	288	976	3.3560125827789307	288,216,124,118,131,118,78,59,38,21,7,19,22,8,1,1,6,2,3,4,	22.0	0.4681716716123303	459	2.7538126	51	12	2.7538126	491	2.5743382	47	48	1	11746	4.2628045	0.9655333688551759	0.8515939591534442	1	0.8515939591534442,
36	1267	2145	283	984	3.385951042175293	283,212,130,115,136,122,69,69,35,22,8,19,20,10,1,1,6,3,5,1,	20.0	0.4807568624200515	457	2.772429	50	12	2.772429	490	2.5857143	48	48	1	11999	4.3419533	0.9675235409501148	0.8485652653484822	1	0.8485652653484822,
37	1269	2144	281	988	3.3790385723114014	281,207,136,126,131,128,65,64,35,21,8,18,23,6,4,3,4,4,0,5,	17.0	0.4809133394126331	452	2.807522	37	33	2.807522	484	2.6219008	49	48	1	12154	4.456323	0.9673981712241048	0.8522446144394642	1	0.8522446144394642,
38	1275	2158	290	985	3.3850979804992676	290,199,133,134,134,103,90,61,27,29,9,18,21,7,7,0,4,5,0,4,	19.0	0.48066195409101964	458	2.7838428	47	13	2.7838428	492	2.5914633	49	48	1	12442	4.4623075	0.9673147569961889	0.8478482977321703	1	0.8478482977321703,
39	1279	2179	290	989	3.4073495864868164	290,201,130,143,127,101,89,64,23,33,10,23,17,8,4,1,5,4,4,0,2,	16.0	0.48495526259470795	460	2.7804348	38	35	2.7804348	492	2.5995934	50	48	1	12827	4.5061893	0.9691070485701335	0.8506716770137397	1	0.8506716770137397,
40	1281	2209	288	993	3.4488680362701416	288,202,133,138,115,116,87,58,28,31,16,26,14,6,4,5,5,2,5,2,	16.0	0.4836912260440942	456	2.8092105	39	2	2.8092105	493	2.5983772	50	48	1	13328	4.494911	0.9684001884549437	0.8444398312102788	1	0.8444398312102788,
41	1279	2209	291	988	3.454261064529419	291,192,148,126,121,113,76,69,28,30,14,28,14,7,1,6,3,5,7,	19.0	0.4850152663057967	458	2.7925763	44	5	2.7925763	497	2.5734406	51	48	1	13630	4.515558	0.9663959590801137	0.8410733201617082	1	0.8410733201617082,
42	1283	2225	285	998	3.468433380126953	285,201,148,124,119,109,82,70,26,36,11,26,16,9,4,3,5,2,7,	19.0	0.4803016704740604	453	2.8322296	48	13	2.8322296	494	2.597166	52	48	1	14086	4.610781	0.9627531877288211	0.8399741446787017	1	0.8399741446787017,
43	1288	2260	284	1004	3.5093166828155518	284,198,149,125,118,105,88,74,26,36,14,21,18,8,6,4,5,4,4,1,	27.0	0.4813320966291709	451	2.8558757	79	14	2.8558757	494	2.6072874	53	48	1	14324	4.616711	0.95473098911426	0.8373189952228047	1	0.8373189952228047,
44	1292	2276	280	1012	3.5232198238372803	280,205,142,127,118,119,83,68,29,31,17,22,17,11,6,5,2,4,2,4,	33.0	0.48152676753994506	449	2.8775055	96	5	2.8775055	492	2.6260164	53	48	1	14552	4.6553707	0.9543054135612401	0.8396127853571002	1	0.8396127853571002,
45	1295	2286	283	1012	3.5305018424987793	283,204,142,128,120,118,75,73,35,25,18,23,16,4,12,7,3,2,3,2,2,	30.0	0.4843549303124716	453	2.8587196	96	5	2.8587196	488	2.6536884	53	48	1	14857	4.653601	0.9555022813749342	0.847665886689799	1	0.847665886689799,
46	1302	2327	290	1012	3.574500799179077	290,200,143,117,127,125,69,71,38,27,22,22,11,8,11,1,6,4,2,3,3,2,	32.0	0.4936632229440865	463	2.812095	96	5	2.812095	491	2.6517313	49	48	1	15372	4.585569	0.9548812182024887	0.8589924263088199	1	0.8589924263088199,
47	1303	2330	291	1012	3.576362133026123	291,196,145,122,133,114,78,63,31,33,23,23,6,15,8,3,2,7,3,1,5,1,	34.0	0.4981809617102896	464	2.8081896	100	5	2.8081896	493	2.643002	49	48	1	15526	4.5934668	0.9536495422645489	0.8527765293153314	1	0.8527765293153314,
48	1305	2361	293	1012	3.6183907985687256	293,192,144,134,113,133,65,66,31,35,23,24,3,15,9,5,2,2,5,3,2,3,3,	22.0	0.4965006835934906	462	2.8246753	75	15	2.8246753	496	2.6310484	50	48	1	15832	4.611247	0.9563493024531619	0.8478205686396615	1	0.8478205686396615,
49	1316	2405	297	1019	3.655015230178833	297,191,153,116,108,138,76,68,37,31,24,21,6,15,7,5,5,6,2,3,2,0,5,	16.0	0.49423510664964965	465	2.8301075	47	2	2.8301075	495	2.6585858	51	48	1	16206	4.7006116	0.961119289767936	0.8492421799698301	1	0.8492421799698301,
50	1321	2442	295	1026	3.6971991062164307	295,196,144,125,94,136,93,68,33,31,25,25,5,17,7,3,7,5,3,0,2,2,5,	25.0	0.48756131963466265	461	2.8655097	76	15	2.8655097	494	2.674089	51	48	1	16638	4.7566605	0.957145664762371	0.8357930188397015	1	0.8357930188397015,
51	1326	2495	290	1036	3.763197660446167	290,204,143,129,97,123,91,76,29,27,33,24,5,14,10,2,7,3,3,5,1,4,3,3,	32.0	0.4840899097187512	460	2.8826087	101	5	2.8826087	494	2.6842105	52	48	1	16979	4.80465	0.9461356380094874	0.8242230352488551	1	0.8242230352488551,
52	1328	2521	290	1038	3.7966866493225098	290,192,151,125,111,116,90,73,32,27,31,27,7,8,15,7,5,5,2,5,1,5,1,2,	32.0	0.48780276897221453	455	2.9186814	98	5	2.9186814	495	2.6828282	53	48	1	17153	4.8564835	0.9483706952829857	0.8242933889245445	1	0.8242933889245445,
53	1332	2551	287	1045	3.8303303718566895	287,193,155,123,106,119,93,70,37,28,25,23,10,16,18,3,4,5,3,2,8,2,2,	28.0	0.49452028083994054	455	2.9274726	90	5	2.9274726	491	2.712831	54	48	1	17726	4.894084	0.9527597036142801	0.8289625470276982	1	0.8289625470276982,
54	1338	2564	291	1047	3.8325860500335693	291,195,151,123,118,108,91,70,37,34,21,27,7,14,15,10,6,1,4,8,5,2,	21.0	0.49312960850032683	460	2.9086957	70	5	2.9086957	500	2.676	51	48	1	18044	4.796356	0.9574618320146203	0.8197290547628135	1	0.8197290547628135,
55	1339	2595	291	1048	3.8760268688201904	291,185,157,140,102,107,83,77,41,30,25,24,10,17,15,8,5,2,3,6,6,4,1,	20.0	0.5040956666759274	461	2.9045553	50	64	2.9045553	503	2.6620278	52	48	1	18369	4.6854324	0.9602316593716241	0.816804288668367	1	0.816804288668367,
56	1341	2586	293	1048	3.856823205947876	293,187,150,135,116,111,74,77,41,40,15,24,19,8,16,6,9,1,6,5,4,2,2,	20.0	0.5033959625313407	462	2.9025974	50	64	2.9025974	502	2.6713147	52	48	1	18751	4.711384	0.9607817452413474	0.8249529413242467	1	0.8249529413242467,
57	1345	2626	290	1055	3.904832601547241	290,184,156,128,134,94,80,66,45,46,17,23,20,9,17,6,7,5,7,5,4,1,0,1,	19.0	0.5066189035758144	455	2.956044	49	2	2.956044	501	2.6846306	53	48	1	18975	4.7720375	0.961203478716843	0.8171586177013618	1	0.8171586177013618,
58	1350	2645	290	1060	3.918518543243408	290,170,170,128,128,116,79,47,58,41,20,21,20,8,15,8,4,5,13,3,5,0,0,1,	20.0	0.5184400562257235	454	2.9735682	50	2	2.9735682	498	2.7108433	54	48	1	19504	4.8395505	0.960772152758172	0.8186014200921227	1	0.8186014200921227,
59	1350	2667	285	1065	3.951111078262329	285,177,155,134,136,115,75,53,56,37,21,23,16,12,15,6,9,4,8,6,5,1,1,	20.0	0.5111725416539661	447	3.0201342	54	2	3.0201342	493	2.7383368	54	48	1	19723	4.8901024	0.9597042776852006	0.824029237627637	1	0.824029237627637,
60	1354	2727	285	1069	4.028065204620361	285,171,156,139,126,122,79,54,50,36,25,28,13,11,13,13,6,2,6,5,3,6,4,1,	23.0	0.5119983164662013	445	3.0426967	57	5	3.0426967	483	2.8033125	55	48	1	20125	4.9701004	0.9565349640941365	0.8385207668792792	1	0.8385207668792792,
61	1355	2747	288	1067	4.054612636566162	288,170,159,129,125,139,73,54,53,23,25,33,9,9,18,13,7,1,5,2,5,2,7,5,1,	23.0	0.5132836456772111	449	3.0178173	55	5	3.0178173	485	2.7938144	55	48	1	20416	4.945442	0.9534494326736139	0.8414037804619624	1	0.8414037804619624,
62	1356	2777	276	1080	4.095870018005371	276,185,157,130,116,125,87,61,51,20,25,33,18,7,11,21,5,6,3,2,1,5,5,3,3,	28.0	0.5084803371071117	440	3.081818	70	5	3.081818	477	2.8427672	56	48	1	20676	5.0470905	0.9522074751330073	0.8474041943123254	1	0.8474041943123254,
63	1362	2807	276	1086	4.121879577636719	276,195,148,142,102,124,89,65,47,24,19,38,15,11,12,17,10,1,7,4,2,3,5,2,4,	18.0	0.5094887985117096	443	3.0744922	55	2	3.0744922	479	2.8434238	57	48	1	20935	5.1013284	0.9517815720762227	0.8390604866022137	1	0.8390604866022137,
64	1366	2824	277	1089	4.134699821472168	277,199,148,130,109,131,85,65,47,23,28,28,17,19,7,17,3,3,7,5,1,0,8,4,1,4,	19.0	0.5044736021752897	443	3.0835214	56	2	3.0835214	480	2.8458333	59	48	1	21221	5.212918	0.9497909460793362	0.8468354011347496	1	0.8468354011347496,
65	1370	2813	277	1093	4.106569290161133	277,195,165,112,115,124,96,70,47,18,29,29,19,16,7,16,3,6,6,2,3,1,7,4,0,3,	18.0	0.5102954820180836	450	3.0444446	56	2	3.0444446	480	2.8541667	59	48	1	21705	5.241514	0.9536228437139103	0.8485016812273629	1	0.8485016812273629,
66	1368	2816	279	1089	4.116959095001221	279,187,169,110,113,116,100,81,43,17,28,34,19,17,4,14,4,7,6,5,5,2,2,4,2,	17.0	0.5138562496881047	448	3.0535715	57	2	3.0535715	479	2.8559499	60	48	1	22150	5.2651577	0.954134602192021	0.848484764414386	1	0.848484764414386,
67	1376	2821	281	1095	4.100290775299072	281,190,167,112,113,129,94,74,49,18,20,40,13,20,7,7,11,6,3,5,6,3,6,0,2,	17.0	0.5151163660524686	452	3.0442479	55	2	3.0442479	489	2.813906	61	48	1	22364	5.229579	0.9541370797159718	0.8350282437599895	1	0.8350282437599895,
68	1382	2827	282	1100	4.091172218322754	282,186,184,104,121,106,102,79,44,28,15,43,7,25,6,21,3,0,7,2,2,9,5,1,	18.0	0.5220683312784072	459	3.0108933	65	14	3.0108933	495	2.7919192	61	48	1	22596	5.1238837	0.9527622179826631	0.8266484849902931	1	0.8266484849902931,
69	1387	2861	283	1104	4.125450611114502	283,181,176,110,119,117,99,82,47,24,23,27,20,20,9,20,5,2,3,2,5,8,4,1,	13.0	0.5176281920235909	451	3.075388	56	2	3.075388	489	2.8364007	62	48	1	23181	5.1571436	0.9550093392794258	0.8382874660627243	1	0.8382874660627243,
70	1388	2881	284	1104	4.151296615600586	284,181,168,110,121,128,89,76,59,28,16,27,14,27,9,21,3,4,1,7,4,7,2,2,	13.0	0.5189400137110192	452	3.0707965	57	2	3.0707965	491	2.8268838	63	48	1	23360	5.238454	0.9551159308837487	0.8339250286831781	1	0.8339250286831781,
71	1395	2891	279	1116	4.144803047180176	279,190,163,112,112,139,93,90,38,28,25,29,9,32,9,19,3,2,1,10,4,7,1,	13.0	0.5220534408055635	455	3.0659342	57	2	3.0659342	489	2.8527608	63	48	1	23624	5.268099	0.9586231246891442	0.8316587063156337	1	0.8316587063156337,
72	1402	2913	279	1123	4.155492305755615	279,193,159,108,120,141,92,89,42,26,28,28,13,21,17,18,3,2,1,11,5,5,1,	12.0	0.5233483435536677	457	3.0678337	58	2	3.0678337	488	2.8729508	64	48	1	24141	5.3220944	0.9588453054827569	0.8401383572509993	1	0.8401383572509993,
73	1404	2924	282	1122	4.1652421951293945	282,196,151,117,121,130,102,82,39,33,17,39,8,20,11,26,6,0,1,11,7,2,3,	26.0	0.5182112960969044	456	3.0789473	82	14	3.0789473	487	2.882957	65	48	1	24427	5.3391805	0.9506897022799163	0.8415660831348086	1	0.8415660831348086,
74	1404	2911	277	1127	4.146723747253418	277,193,152,128,133,119,96,82,46,28,19,39,10,13,15,25,6,1,0,10,8,1,2,1,	29.0	0.5178641197969258	448	3.1339285	77	13	3.1339285	484	2.9008265	65	48	1	24879	5.3291726	0.9490390575980103	0.8384052671720673	1	0.8384052671720673,
75	1412	2924	277	1135	4.141643047332764	277,192,161,129,127,125,97,78,49,32,19,33,9,18,16,21,3,1,4,1,12,3,3,1,1,	29.0	0.5178800788600333	445	3.1730337	81	2	3.1730337	487	2.899384	64	48	1	24946	5.303945	0.9398627519598135	0.8361046535020317	1	0.8361046535020317,
76	1418	2964	270	1148	4.180535793304443	270,199,157,127,121,147,95,78,52,27,19,29,11,12,22,22,3,4,0,1,4,9,6,3,	20.0	0.5187682867932053	441	3.2154195	77	2	3.2154195	485	2.9237113	67	48	1	25519	5.3786726	0.943037092887933	0.8415020393166032	1	0.8415020393166032,
77	1425	2943	268	1157	4.130526542663574	268,207,157,131,127,131,110,82,46,28,19,23,8,13,27,17,5,3,1,0,6,10,3,3,	20.0	0.5126741841847224	443	3.2167044	68	2	3.2167044	485	2.9381444	66	48	1	25803	5.3771296	0.946948875387376	0.8423504508414449	1	0.8423504508414449,
78	1433	2966	269	1164	4.1395673751831055	269,212,160,132,133,119,106,88,44,32,19,22,8,17,22,14,11,1,2,0,0,5,10,4,3,	29.0	0.5194647463808528	450	3.1844444	88	5	3.1844444	487	2.9425051	67	48	1	26107	5.422175	0.941994662820577	0.8292393587200237	1	0.8292393587200237,
79	1438	3020	265	1173	4.200278282165527	265,206,168,135,130,125,100,85,47,37,11,29,16,12,12,19,8,8,2,1,1,6,4,6,2,3,	18.0	0.525222498082638	444	3.2387388	71	2	3.2387388	485	2.9649484	69	48	1	26415	5.515269	0.9418545239243917	0.8279382483224429	1	0.8279382483224429,
80	1439	3028	266	1173	4.208477973937988	266,205,166,133,125,130,106,75,54,35,19,29,9,16,10,25,8,4,1,1,0,6,7,7,2,	19.0	0.5209339219130777	444	3.2409909	73	14	3.2409909	467	3.0813704	69	48	1	26871	5.70086	0.9405639831846866	0.8487304859619345	1	0.8487304859619345,
81	1448	3058	273	1175	4.223756790161133	273,203,164,128,128,134,104,79,59,33,17,29,7,16,10,27,4,8,2,0,1,5,9,4,4,	18.0	0.525020244993988	453	3.1964679	72	2	3.1964679	467	3.1006424	69	48	1	27081	5.7755346	0.9421228817528684	0.8573439126099693	1	0.8573439126099693,
82	1459	3099	272	1187	4.248115062713623	272,213,155,118,148,131,114,63,52,43,24,24,16,12,9,29,4,6,1,2,3,2,10,5,1,2,	17.0	0.5239339033268153	455	3.2065935	73	2	3.2065935	463	3.151188	71	48	1	27361	5.866372	0.9428110807377187	0.873078117716099	1	0.873078117716099,
83	1459	3094	277	1182	4.241261005401611	277,206,155,120,147,133,118,69,39,50,18,27,13,13,9,29,3,6,3,1,1,5,3,8,5,1,	18.0	0.5287864263287463	459	3.1786492	73	2	3.1786492	467	3.124197	71	48	1	27752	5.884948	0.9427966801060823	0.8760751777216274	1	0.8760751777216274,
84	1460	3114	273	1187	4.265753269195557	273,213,148,125,153,137,97,81,34,52,10,34,12,16,10,22,3,9,8,1,1,5,3,6,6,1,	26.0	0.5299134058300694	462	3.1601732	87	5	3.1601732	466	3.133047	73	48	1	27879	5.931101	0.9401455873550966	0.8651041518424897	1	0.8651041518424897,
85	1471	3145	276	1195	4.276002883911133	276,213,151,120,158,138,108,79,33,42,17,32,14,13,10,22,5,0,12,3,4,4,3,4,6,3,0,1,	28.0	0.5294369406849873	468	3.1431625	87	5	3.1431625	468	3.1431625	77	48	1	28143	6.0659137	0.9384608774115946	0.8716537467047154	1	0.8716537467047154,
86	1475	3138	279	1196	4.254915237426758	279,216,143,128,158,136,116,71,33,39,17,37,17,7,11,25,1,7,6,2,3,5,3,6,7,1,1,	35.0	0.5224186729754955	465	3.172043	94	5	3.172043	471	3.1316347	78	48	1	28522	6.1096087	0.9371862256327876	0.8663604529440502	1	0.8663604529440502,
87	1477	3158	291	1186	4.276235580444336	291,208,144,130,151,135,122,59,32,45,18,37,18,8,11,24,2,2,4,8,4,5,3,6,6,3,1,	28.0	0.522362041677355	474	3.1160338	88	5	3.1160338	481	3.070686	79	48	1	29031	6.127397	0.9344044558869342	0.8531913381016909	1	0.8531913381016909,
88	1482	3164	290	1192	4.2699055671691895	290,210,146,125,164,141,102,66,31,45,17,42,12,13,10,24,1,0,6,7,6,4,8,7,5,	33.0	0.5219345578016363	471	3.1464968	98	5	3.1464968	482	3.074689	80	48	1	29161	6.2293835	0.9329680380257701	0.8561995849322594	1	0.8561995849322594,
89	1488	3181	288	1200	4.275537490844727	288,212,145,130,168,130,112,61,25,54,23,37,14,12,9,24,1,0,6,8,5,3,9,9,3,	32.0	0.5201411476202683	468	3.1794872	98	5	3.1794872	481	3.0935552	81	48	1	29540	6.2810545	0.933408151452536	0.8525784431512912	1	0.8525784431512912,
90	1492	3221	282	1210	4.317694187164307	282,214,159,125,165,124,112,63,30,47,29,42,10,12,8,23,3,2,0,2,9,9,10,8,1,1,2,	27.0	0.5280639206541123	470	3.174468	88	5	3.174468	470	3.174468	82	48	1	29810	6.436784	0.9325835451357802	0.8605372843786252	1	0.8605372843786252,
91	1498	3235	270	1228	4.319092273712158	270,235,159,131,162,119,109,66,32,35,30,46,13,12,5,25,2,2,3,2,8,12,10,4,3,1,2,	28.0	0.5171910210939944	464	3.2284484	84	2	3.2284484	467	3.2077088	83	48	1	30325	6.5280595	0.9359366855466588	0.857862683315458	1	0.857862683315458,
