	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
26	17	1	18.909	0.11732670435907094	18.79	19.1	10	9.0	0.0	9	9	0	0.0	0	0	7936.18	8107.57	15994.31	16216.56	18.691000000000003	0.2981964304130845	18.18	19.05	0	280.65921435078485	280.65921435078485
27	18	1	18.886000000000003	0.13276545735464243	18.71	19.14	10	9.8	0.4216370213557839	9	10	0	0.0	0	0	7924.9	8095.03	15979.9	16201.87	18.806	0.39393174817751697	18.29	19.31	0	279.6692650256738	279.6692650256738
28	18	11	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
29	19	1	18.89090909090909	0.15221396423798317	18.67	19.18	11	10.363636363636363	0.9244162777371754	9	11	0	0.0	0	0	7907.86	8126.54	15956.72	16234.48	18.740909090909092	0.39465059344823633	18.17	19.38	0	353.51316807157303	353.51316807157303
30	19	12	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
31	20	1	18.87833333333333	0.17324881389278898	18.65	19.26	12	10.166666666666666	1.1146408580454255	8	11	0	0.0	0	0	7897.09	8123.84	15941.14	16236.4	18.743333333333336	0.38058169194323666	18.21	19.42	0	372.28219148919834	372.28219148919834
32	21	1	18.83583333333333	0.12048827429492012	18.63	19.01	12	10.833333333333334	1.3371158468430429	9	12	0	0.0	0	0	7886.4	8107.84	15925.66	16216.87	18.686666666666664	0.423241459846929	18.16	19.44	0	365.8400438716363	365.8400438716363
33	21	13	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
34	22	1	18.838461538461537	0.15501860930489486	18.58	19.12	13	11.307692307692308	1.7504578155735615	9	13	0	0.0	0	0	7875.66	8126.54	15910.11	16234.49	18.58923076923077	0.35551515529025274	18.14	19.29	0	410.0770156933933	410.0770156933933
35	22	14	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
36	23	1	18.873571428571427	0.19878891560405001	18.54	19.3	14	11.142857142857142	1.7913099142223294	9	13	0	0.0	0	0	7865.15	8123.79	15894.9	16236.33	18.944285714285716	0.33387501774234335	18.4	19.31	0	428.33292483767855	428.33292483767855
37	24	1	18.837142857142855	0.20219672718335008	18.52	19.25	14	11.142857142857142	1.7913099142223294	9	13	0	0.0	0	0	7854.95	8107.22	15878.84	16216.15	18.832142857142856	0.40077192000952644	18.22	19.19	0	421.2103856744274	421.2103856744274
38	25	1	18.834285714285716	0.20125430853347936	18.51	19.29	14	11.714285714285714	1.938618517976592	9	14	0	0.0	0	0	7845.03	8094.63	15863.0	16201.4	18.908571428571427	0.3758243686138662	18.41	19.43	0	420.49342444323656	420.49342444323656
39	25	15	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
40	26	1	18.833333333333332	0.194850369942317	18.47	19.29	15	12.0	2.2038926600773587	9	15	0	0.0	0	0	7834.99	8126.75	15846.96	16234.74	18.754666666666665	0.42216900249384126	18.16	19.42	0	485.2805642100255	485.2805642100255
41	26	16	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
42	27	1	18.876250000000002	0.20162258471346584	18.54	19.32	16	11.75	2.3523038352503134	8	15	0	0.0	0	0	7825.24	8123.77	15831.4	16236.31	18.98	0.37876993896911826	18.22	19.42	0	503.0628877188222	503.0628877188222
43	28	1	18.838124999999998	0.15131506864857067	18.6	19.17	16	12.25	2.4083189157584592	9	16	0	0.0	0	0	7815.3	8107.79	15815.53	16216.82	18.766874999999995	0.3283436969602096	18.25	19.39	0	496.57231517675154	496.57231517675154
44	28	17	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
45	29	1	18.836470588235297	0.2216117431586582	18.46	19.34	17	12.529411764705882	2.648529003494759	9	17	0	0.0	0	0	7805.3	8126.27	15799.55	16234.15	18.574117647058824	0.8915790684477074	15.52	19.43	0	540.2766892065588	540.2766892065588
46	29	18	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
47	30	1	18.815555555555555	0.21420776671311903	18.35	19.17	18	12.333333333333334	2.700762419587999	9	17	0	0.0	0	0	7795.15	8124.09	15783.35	16236.7	18.61722222222222	0.4376112370259378	17.43	19.2	0	560.1140474046341	560.1140474046341
48	31	1	18.765555555555554	0.21801840780963705	18.17	19.07	18	12.333333333333334	2.700762419587999	9	17	0	0.0	0	0	7785.05	8108.17	15767.23	16217.26	18.485	1.0387110224867255	15.64	19.43	0	554.015825856988	554.015825856988
49	32	1	18.744444444444444	0.25282456652396146	18.12	19.11	18	12.777777777777779	2.646986200891954	9	17	0	0.0	0	0	7774.64	8096.3	15748.43	16203.36	18.555	0.7470746871868233	16.34	19.38	0	557.1592774961215	557.1592774961215
50	32	19	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
51	33	1	18.736315789473686	0.35281739888935454	17.94	19.38	19	13.0	2.788866755113585	9	17	0	0.0	0	0	7765.57	8126.21	15731.61	16234.08	18.466842105263154	1.1595403909000943	14.32	19.36	0	618.4960068585726	618.4960068585726
52	33	20	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
53	34	1	18.7055	0.3861479809060706	17.71	19.1	20	12.8	2.8580449703655084	9	17	0	0.0	0	0	7756.7	8124.32	15715.14	16236.98	18.587499999999995	0.8397046786630371	16.22	19.43	0	638.3270713356908	638.3270713356908
54	35	1	18.647499999999997	0.4306772512414885	17.46	18.97	20	12.8	2.8580449703655084	9	17	0	0.0	0	0	7747.91	8108.4	15698.83	16217.53	18.425499999999996	0.8408484123976668	15.91	19.33	0	631.6666289270003	631.6666289270003
