	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
0	0	0	19.44		19.44	19.44	1	0.0		0	0	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
1	1	0	19.12		19.12	19.12	1	1.0		1	1	0	0.0	0	0	8126.55	8126.55	16234.49	16234.49	18.8		18.8	18.8	0	0.0	0.0
2	1	1	19.44		19.44	19.44	1	1.0		1	1	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
3	2	0	18.47		18.47	18.47	1	1.0		1	1	0	0.0	0	0	8110.51	8110.51	16214.92	16214.92	18.47		18.47	18.47	0	0.0	0.0
4	2	1	19.41		19.41	19.41	1	1.0		1	1	0	0.0	0	0	8123.65	8123.65	16236.16	16236.16	19.38		19.38	19.38	0	0.0	0.0
5	3	2	19.096666666666668	0.35557465226486085	18.73	19.44	3	2.0	0.0	2	2	0	0.0	0	0	8098.1	8138.77	16200.38	16248.69	19.096666666666668	0.35557465226486085	18.73	19.44	0	63.1498614408625	63.1498614408625
6	4	2	18.94666666666667	0.4465795935028179	18.57	19.44	3	3.0	0.0	3	3	0	0.0	0	0	8085.87	8126.15	16186.06	16234.01	18.94333333333333	0.4410593308540097	18.57	19.43	0	62.62332552651647	62.62332552651647
7	4	3	19.44		19.44	19.44	1	3.0		3	3	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
8	5	2	18.957500000000003	0.32003906011581135	18.7	19.36	4	3.0	0.0	3	3	0	0.0	0	0	8073.98	8124.08	16172.14	16236.69	18.865	0.46429157505475105	18.3	19.36	0	81.71115284953565	81.71115284953565
9	6	2	18.93	0.17320508075680896	18.78	19.08	4	3.0	0.0	3	3	0	0.0	0	0	8061.79	8107.61	16157.87	16216.6	18.93	0.3561834733206029	18.55	19.38	0	74.48949791749118	74.48949791749118
10	7	2	18.564999999999998	0.3059956426706114	18.3	18.83	4	4.0	0.0	4	4	0	0.0	0	0	8050.23	8095.24	16143.6	16202.12	18.5625	0.3585503218982388	18.22	19.04	0	73.82743731161248	73.82743731161248
11	7	4	19.44		19.44	19.44	1	4.0		4	4	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
12	8	2	19.095999999999997	0.15241391012682773	18.93	19.22	5	5.0	0.0	5	5	0	0.0	0	0	8038.72	8126.47	16128.43	16234.4	19.046	0.24905822612366746	18.73	19.4	0	137.58525865804032	137.58525865804032
13	8	5	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
14	9	2	18.965	0.19786358937387072	18.83	19.34	6	5.0	0.0	5	5	0	0.0	0	0	8027.07	8123.75	16113.07	16236.28	18.94333333333333	0.47098478390149257	18.2	19.4	0	156.61330243628825	156.61330243628825
15	10	2	18.974999999999998	0.2026573462770005	18.79	19.16	6	6.0	0.0	6	6	0	0.0	0	0	8015.45	8107.1	16097.76	16216.0	18.974999999999998	0.40490739682069715	18.19	19.28	0	149.6008693156562	149.6008693156562
16	10	6	19.44		19.44	19.44	1	6.0		6	6	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
17	11	2	18.752857142857142	0.25111181345639694	18.57	19.28	7	7.0	0.0	7	7	0	0.0	0	0	8004.23	8126.34	16083.0	16234.24	18.73	0.3525147751040456	18.38	19.32	0	194.38207144693172	194.38207144693172
18	11	7	19.44		19.44	19.44	1	7.0		7	7	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
19	12	2	18.819999999999997	0.06928203230390505	18.76	18.9	8	7.0	0.0	7	7	0	0.0	0	0	7992.94	8124.41	16068.21	16237.09	18.74375	0.4051432727179367	18.19	19.22	0	214.02059550426546	214.02059550426546
20	13	2	18.924999999999997	0.19777331901549994	18.74	19.11	8	7.0	0.0	7	7	0	0.0	0	0	7981.92	8107.79	16053.78	16216.82	18.92375	0.4974775658977198	18.15	19.4	0	205.9740238476679	205.9740238476679
21	14	2	19.150000000000002	0.13897584579431335	19.02	19.28	8	8.0	0.0	8	8	0	0.0	0	0	7970.19	8095.43	16038.42	16202.35	19.145	0.22822294863961953	18.7	19.38	0	206.29615241201245	206.29615241201245
22	14	8	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
23	15	2	18.845555555555553	0.1818729715430179	18.68	19.21	9	9.0	0.0	9	9	0	0.0	0	0	7959.04	8126.43	16023.82	16234.35	18.817777777777778	0.25513612924179896	18.37	19.16	0	268.96522637694335	268.96522637694335
24	15	9	19.44		19.44	19.44	1	9.0		9	9	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
25	16	2	18.72857142857143	0.2429285609270305	18.59	19.17	7	9.0	0.0	9	9	0	0.0	0	0	7947.6	8123.96	16008.9	16236.54	18.572857142857142	0.3334523597016639	18.17	18.97	0	287.9632254299157	287.9632254299157
26	16	10	18.98	0.0	18.98	18.98	3	9.0	0.0	9	9	0	0.0	0	0	7955.65	8034.33	16024.83	16128.1	19.253333333333334	0.18448125469368068	19.05	19.41	0	129.82771391347896	129.82771391347896
27	17	2	18.707142857142856	0.03903600291858926	18.65	18.73	7	9.0	0.0	9	9	0	0.0	0	0	7936.18	8107.57	15994.31	16216.56	18.724285714285713	0.3199925594373922	18.18	19.05	0	280.65921435078485	280.65921435078485
28	17	10	18.65		18.65	18.65	3	9.0	0.0	9	9	0	0.0	0	0	7944.26	8022.94	16010.01	16113.08	18.613333333333333	0.2829016319029072	18.3	18.85	0	129.66868280351986	129.66868280351986
29	18	2	18.79	0.03415650255414203	18.77	18.84	7	9.857142857142858	0.3779644730092272	9	10	0	0.0	0	0	7924.9	8095.03	15979.9	16201.87	18.85571428571429	0.4300332213080372	18.29	19.31	0	279.6692650256738	279.6692650256738
30	18	10	18.84	2.7530206164819037e-07	18.84	18.84	3	9.666666666666666	0.5773502691896257	9	10	0	0.0	0	0	7932.51	8011.71	15994.98	16098.28	18.69	0.3386738844374228	18.42	19.07	0	130.1673154059812	130.1673154059812
31	18	11	19.44		19.44	19.44	1	8.0		8	8	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
32	19	2	18.80625	0.1451046420445554	18.68	19.13	8	10.375	0.9161253813129043	9	11	0	0.0	0	0	7907.86	8126.54	15956.72	16234.48	18.884999999999998	0.35294677866708346	18.26	19.38	0	353.51316807157303	353.51316807157303
33	19	10	18.68	0.0	18.68	18.68	3	10.333333333333334	1.1547005383792515	9	11	0	0.0	0	0	7921.21	8000.47	15980.54	16083.51	18.35666666666667	0.19553345834718386	18.17	18.56	0	129.94217367737042	129.94217367737042
